"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_002760",8.54636812950912,8.47577492817313,8.96061363304213,7.7928646044003,7.68920027287681,7.7541277162109,8.04270698681401,7.75331908126036,7.92753423498762,7.91005539441346,7.83737146371823,7.96163584535907
"FGRAM000v1_002761",6.68718380201168,6.55758514603379,6.55758514603379,6.68503965542272,6.76272073680449,6.64937987317297,6.6814586272188,6.69605367646996,6.74303178897683,6.87155358295518,6.84294964681713,6.8623432130114
"FGRAM000v1_002762",6.64116504177727,6.55758514603379,6.55758514603379,6.68716183940034,6.86298179859489,6.7006842527232,6.63709838422603,6.80290329720742,6.70083577499557,6.7852112618112,6.76196148868031,6.69760187166958
"FGRAM000v1_002763",6.88368028982841,6.86848704244665,6.7347968059594,7.08597900442924,7.10694295236435,7.18438646792683,6.82780307432348,6.92465483286082,6.96911495315763,7.3027610226443,7.19429062062626,7.22062268893084
"FGRAM000v1_002765",8.10688894555751,8.12278271942593,8.21652364545298,8.41530376110575,8.38965913264559,8.33237659690111,8.43261905325299,8.36875542430257,8.55645940294668,8.27030140301617,8.24990579134188,8.32812372997189
"FGRAM000v1_002766",6.91801298175361,7.01692356552545,6.98353527907231,7.13254258036982,7.14299997326936,7.20444197037286,7.21975607833709,7.10281455689879,7.16644856169747,7.22633041258432,7.38112395831904,7.10993718082413
"FGRAM000v1_002767",6.89443338150371,6.78960396261637,6.90163703704984,6.96971440078903,6.92215755464407,6.95664661606643,6.98723782489441,6.93918316262571,6.97768754729009,7.00593571085495,7.13994374661938,7.16787364414555
"FGRAM000v1_002769",7.54269984315352,7.68965405172436,7.71392461720524,7.76764733405658,7.90243262580271,7.73289466605068,7.6410207749502,7.77105152194047,7.65180764162582,8.00256840039854,8.11517194678019,8.02114367001577
"FGRAM000v1_002770",7.32778823574364,7.31417898996975,7.54663632737511,8.2913855840206,8.21105866298219,8.2760186953901,7.08663994512693,6.87957474269909,6.94012644569071,6.66378430237501,6.69026312866275,6.64704666433913
"FGRAM000v1_002771",9.63844543891063,9.45838075901905,9.68699293459507,10.3159131551722,10.2401826659694,10.2831816413281,9.79686442278233,9.67865658942937,9.67126840013683,9.39816417491272,9.349776268309,9.28727218425391
"FGRAM000v1_002772",8.56194576350071,8.4821500377248,8.41378935082322,9.06899356394033,9.1416761700195,9.11032476654478,8.90291438195044,8.86212157821068,8.86396145203664,9.33432759246579,9.18898060025296,9.28528804800482
"FGRAM000v1_002773",7.05178489503706,6.97305102454009,6.98866359465444,7.18209490612115,7.08036997337701,7.06646279311243,7.0774749301713,7.04140728080329,7.06790697589731,7.14764843872646,7.23804736567547,7.25450529107333
"FGRAM000v1_002776",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.64166991262356,6.64880416176057,6.55758514603379,6.55758514603379,6.55758514603379,6.62284811639393,6.55758514603379,6.55758514603379
"FGRAM000v1_002777",7.85775587649699,7.91021994104926,7.62598506332893,7.89550325880991,7.97599386692883,7.87236986885167,7.63365467061153,7.80092044021901,7.7675789048608,8.07515070004928,8.10709164361665,8.09168008996923
"FGRAM000v1_002778",10.3865988864374,10.3194459145006,10.3259169996105,10.136882958538,10.1584162826474,10.0961989255109,10.5964593739139,10.3592288655735,10.4903342570535,10.0314297531991,10.0023553188195,10.062717218667
"FGRAM000v1_002780",8.22386707836986,8.27410886123412,7.8171892428675,8.06780956229393,8.11258569995553,8.21267354120293,8.20413170124834,8.18011541463136,8.27849728851578,8.09127488153964,8.05971408490979,7.89580953110908
"FGRAM000v1_002781",8.2598786534826,8.38672833895692,8.12358576322852,8.68848081067933,8.9184352352003,8.59150823663714,8.84174571115889,8.99302990240085,8.82319642569457,9.08957429633612,9.04061290333464,8.99184803531273
"FGRAM000v1_002782",7.4038093314434,7.31573161386546,7.44359386272246,7.92025098348793,7.95022205441991,7.92533817396772,7.7359121163847,7.66004799364946,7.94336606058283,8.54710034454804,8.62571055529227,8.53291337949662
"FGRAM000v1_002783",7.07418372303588,7.10275586498219,7.02910778815421,6.87706077209982,6.97571519203578,7.02643831463559,6.95746051544666,6.95951966584939,6.93236734996737,7.00942248311746,6.86569807996641,6.98578548011867
